id,title,author,Date,abstract,link,Type
190,计算机科学与技术课程体系的教学分析,常大俊,2023/4/10,摘要： 阐述计算机技术课程体系的设计，在课程设计中增加了研究性、创新性、综合性的内容，探讨复合架构的课程体系教学实践，包括分层次、多形式、模块化的实践教学。,https://kns.cnki.net/kcms2/article/abstract?v=vs6GoGUIqCMuX3w0VYhHqdbsD6Tmq4KcTdP8OX2Uz4uisZ_FvKjjPCxTOXRsbamG9mb64F5so68sQKdBZiiZYpSypI2b5a1F5cy2MEKcsOfBF9am2k9KOswBFMvVCbeW3A9HHEZNeTNNmrCFxOf7Fg==&uniplatform=NZKPT&language=CHS,paper information
188,计算机科学导论的高德纳测试教学法,徐志伟;李振营;俞子舒;翟恋,2023/4/10,摘要： 针对计算思维在计算机科学导论课程中难以落地的问题，从高德纳（Donald Knuth）的大师观点出发，提出一种名为高德纳测试的知行合一教学法，并给出涉及数学概念、算法程序、硬件、创造性表达的实例，以说明高德纳测试适用于逻辑思维、算法思维、系统思维、网络思维等计算思维知识点的教学。,https://kns.cnki.net/kcms2/article/abstract?v=vs6GoGUIqCNWl1IGvL_4ywiFiv5Br0L-dgBn7emda9a6rk8HBCxJSLMmncFUA7s8zua3EoEbWWsaajua9aNB6I3bLDSOGKnksECDQBISp4GeL9uITdoAslfFCjyBj5t_OO5tMgiIrID96uYQFlMjeg==&uniplatform=NZKPT&language=CHS,paper information
189,电子科技大学许春香团队获云计算领域国际期刊年度最佳论文奖,,2023/4/10,摘要： <正>近日，电子科技大学计算机科学与工程学院（网络空间安全学院）许春香教授团队在云计算领域国际期刊IEEE Transactions on Cloud Computing上发表的学术论文“Blockchain-Based Public Integrity Verification for Cloud Storage against Procrastinating Auditors”荣获该期刊年度最佳论文奖（每年评选两篇，本年度另一篇来自佛罗里达大学），该论文由许春香教授指导、现留校任教的张源老师在其攻读博士学位期间完成，电子科技大学为论文第一作者单位。,https://kns.cnki.net/kcms2/article/abstract?v=vs6GoGUIqCMuX3w0VYhHqdbsD6Tmq4KcTdP8OX2Uz4vR1ENbIwymQLrFIFDPi8xYHMYAQB_orsXgLQDkP_oDEyzHVcWQJDMzBzKc9Tf8C2vGbOVRIdxHRD6Vw3dwm9YU8AIOP6LrvkKbhSq807IOEg==&uniplatform=NZKPT&language=CHS,paper information
187,CS2023：计算机科学教育知识与胜任力模型并轨的全新探索,向乔;刘雨桐;孔令和;高晓沨;张铭,2023/4/10,摘要： 面向2023年全世界计算机科学教育，系统介绍ACM/IEEE-CS/AAAI CS2023培养方案（以下简称CS2023）的核心理念和探索实践，以自下而上的形式探讨有限的课时和教学资源条件下，计算机科学教育中核心知识教育与胜任力模型培养并轨的方式，通过对比国内外计算机科学教育计划，总结CS2023的工作重心，最后提出CS2023未来发展展望。,https://kns.cnki.net/kcms2/article/abstract?v=vs6GoGUIqCP-xkGbFZ3KPhWD17MHDIehbwbj9WOplFijIARSLu8LE2bMKIyK29OKTDMg6cy8_i8RoPOitmudrKoVGj_QrHeFtvaUGFZSzvchlCvsYiPt2ngL1sN8Q9seKia-1ZqViGk6AAtNtO8crA==&uniplatform=NZKPT&language=CHS,paper information
186,工程认证背景下计算机科学与技术专业课程思政教学体系建设探索,胡俐蕊;胡泽坤;黄河夫;黎永壹;李仲生,2023/4/10,摘要： 工程教育专业认证标准强调“以学生为中心、产出导向、持续改进”的国际工程教育核心理念，以成果导向为教育核心，注重培养高素质人才以满足社会发展需求。我国很多高校都以工程教育专业认证标准加强工科专业建设。“立德树人”是我国教育的根本任务，将中国特色的思政素养融入到工程教育中，体现社会主义核心价值观，是非常重要的。针对计算机科学与技术专业的工科人才培养，将课程思政有机融入该专业的工程人才培养，从计算机科学与技术专业的思政目标、专业课教学大纲、专业课思政元素、专业课课程思政教学方法和课程思政的教学效果评价五方面构建该专业课程思政的教学体系。,https://kns.cnki.net/kcms2/article/abstract?v=vs6GoGUIqCNAVTSGtRNIlt0QeA81PPyC7RgSU5UKR8cA3FW7cOTdeChvY0ebuOX7VYjn5c9dkHPEHbfyeQDF5cJZ7EjxkxEcx2Aq4Nm7zhs3i8mIYkan3_xH-380g9Ns8Qwki5eiPNqukyjDhRHwlA==&uniplatform=NZKPT&language=CHS,paper information
185,黄淮學院,,2023/4/11,摘要： <正>教育部应用技术大学改革战略研究试点院校全国首批深化创新创业教育改革示范高校全国创新创业典型经验高校河南省硕士学位授予重点立项建设单位河南省文明校园(标兵)单位河南省5G智慧校园试点高校河南省“三全育人”综合改革试点高校河南省高等教育质量社会满意高校国家级科技企业孵化器、国家级众创空间中国大学生创新创业产学研合作创新示范基地河南省大中专毕业生就业工作先进集体2020年度国内高质量就业示范高校国家级一流专业:动画、计算机科学与技术、,https://kns.cnki.net/kcms2/article/abstract?v=vs6GoGUIqCOa4_XKCIIYSBnzNvSKaMkP6P-LDx4Ok2Rywn4DCPhBphcpV_sojkAQ8butFrWEDDA9_0VZ99OeBX_OJXs-7sMEEyLMWA9feK3WWaCHeN1vAFYpG4Or3KHUjRrvLQpLAH_xRyjiixoKlg==&uniplatform=NZKPT&language=CHS,paper information
184,后疫情时代高校管理服务育人模式探索与实践——以电子科技大学计算机科学与工程学院为例,李青;张晓玲;张硕,2023/4/15,摘要： 新冠疫情给高校思想政治工作带来了巨大挑战和机遇。进入后疫情时代，推进高校管理服务育人工作创新是实现师生安全和立德树人相统一的现实之需、挖掘抗疫精神和发挥育人价值相统一的应然之义、抓住时代契机和培养创新人才相统一的必然之举。为了开启后疫情时代“三全育人”新局面，电子科技大学计算机科学与工程学院打造了基于制度建设、队伍建设和网络平台建设“三位一体”的管理服务育人新模式，对推进后疫情时代高校思想政治工作具有一定的借鉴意义。,https://kns.cnki.net/kcms2/article/abstract?v=vs6GoGUIqCOa4_XKCIIYSBnzNvSKaMkPzhlz7NUyF1RCaxj5ApqRjetCYgZ0qx7K1ALQoONh4ciFXTEhntD19wgHzoIFlg6mvE8N6dbXWicBi4Kjd6gzXQnIrTet7H_SCnvvqr-Pef_6sb6KnZfwMg==&uniplatform=NZKPT&language=CHS,paper information
183,新工科背景下多学科交叉融合的土力学实验教学模式探索,朱锐;周峰;刘恒,2023/4/15,摘要： 新工科背景下，传统工科专业对实验教学的要求进一步提升，现阶段土力学实验教学模式难以体现多学科交叉融合的特点，不利于地下空间专业复合型人才培养。文章从材料学、生物学、环境工程学、计算机科学四个角度详细论述了土力学多学科交叉融合的特征，从实验项目、实验设备、实验课程以及实验教材四个方面探索了土力学实验教学改革措施，创新优化了土力学实验教学评价体系，为高等学校土力学教育教学改革和发展提供参考。,https://kns.cnki.net/kcms2/article/abstract?v=vs6GoGUIqCNLzSm6hxnCFqT6PJW3f3NV5ARRdMRMRZhfVcoxLnPmygIVGpm6x721qlL_HnLmYwGb2xrgG78KXZydrsrjSN6iSbJAPZqJe750BzMkxuro33kIlj6wwkQ3zgI6x-Sl5Q-Pms-xVrab2Q==&uniplatform=NZKPT&language=CHS,paper information
182,计算机科学与技术专业移动学习App设计与实现,孟煜雯;王颖洁;朱久祺;张程烨;赵龙江,2023/4/15,摘要： 本项目开发一款教学应用类移动App，旨在减轻教师和学习者的负担，增强学习者的学习效率。将移动学习App应用到课堂教学、学生课下自主学习、学生习惯养成等环节，并通过线上教学、线下指导和监督监测相互结合的方式，可以培养学生的知识运用能力、实践动手能力和创新能力。该应用可以通过其内置的教学辅助功能，将教学过程以数字化的形式进行记录和整理，而且可以使学生更加积极地进行预习和课后复习，提高了课堂的效率和质量，有较为广阔的应用前景。,https://kns.cnki.net/kcms2/article/abstract?v=vs6GoGUIqCM2sMwEXptr9rzRO2-5lCF6XnyoNm9Tin2iydhLTTDhvs7zPLTArmu03Nb1hObXHNEd5txFcwhxmLo-MOCziSwik6OfMHIO3C0o0alKFMiu-6sTnoMUzmkNCTErs_Jiay6QOUEp9iD0jA==&uniplatform=NZKPT&language=CHS,paper information
181,《小型微型计算机系统》期刊简介,,2023/4/15,摘要： <正>《小型微型计算机系统》创刊于1980年，由中国科学院主管、中国科学院沈阳计算技术研究所主办，为中国计算机学会会刊.创刊40年来，该刊主要面向国内从事计算机研究和教学的科研人员与大专院校的教师，始终致力于传播我国计算机研究领域最新科研和应用成果，发表高水平的学术文章和高质量的应用文章，坚持严谨的办刊风格，因而受到计算机业界的普遍欢迎.《小型微型计算机系统》所刊登的内容涵盖了计算机学科的各个领域，包括计算机科学理论、体系结构、软件、,https://kns.cnki.net/kcms2/article/abstract?v=vs6GoGUIqCM2sMwEXptr9rzRO2-5lCF6XnyoNm9Tin2FinOFgXwjkfOjphchSCaeX0YscoVubk3sVLQlJomw9XzgPt1-uOWE5feI7zDgeLbtmChYVnI3n9K8KwS3XeL9LJFb3PKApI-Zpfn_3Qu8JQ==&uniplatform=NZKPT&language=CHS,paper information
